Avis,Ordre,Description,Poste technique,Désignation du poste technique,Poste travail princ.,Divis. planification,Groupe gestionnaires,Statut système,Statut utilisateur,Type de travail,Type d'avis,Priorité,Texte de la priorité,Type de priorité,Auteur de l'avis,Créé par,Créé le,Créé à,Date de l'avis,Heure de l'avis,Modifié par,Date de modification,Heure modification,Début souhaité,Heure début souhaitée,Date de la clôture,Heure de clôture,Zone de tri,Centre de coûts,Pompe
12807883,4001952800.0,préventif (1 an) moteur MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-05-25,09:52:09,2026-05-25 00:00:00,09:52:09,,,00:00:00,2027-05-30 00:00:00,00:00:00,,00:00:00,S-PC-924IP01B-M,SF01PEAUMR,1
13152884,4002285932.0,préventif des cellules MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-DEPARTM,DEPART MOTEUR MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:51,2026-07-10 00:00:00,14:40:51,,,00:00:00,2027-01-18 00:00:00,00:00:00,,00:00:00,S-PC-924IP01B-D,SF01PEAUMR,1
11739954,4000023485.0,préventif des cellules MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-DEPARTM,DEPART MOTEUR MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,LABIBI,2025-12-18,10:20:45,2025-12-18 00:00:00,10:20:44,,,00:00:00,2025-11-30 00:00:00,00:00:00,,00:00:00,S-PC-924IP01B-D,SF01PEAUMR,1
11555234,4000704864.0,préventif des cellules MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-DEPARTM,DEPART MOTEUR MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,2.0,Dans une semaine,P1,,BENMOUSSA1,2025-11-17,08:58:40,2025-11-17 00:00:00,08:58:40,BENMOUSSA1,2026-08-11 00:00:00,18:14:14,2026-08-11 00:00:00,18:14:14,,00:00:00,S-PC-924IP01B-D,SF01PEAUMR,1
12808076,4001953003.0,préventif des cellules MT,SF01-UT-FDEM-BASSIN-0IP01B-GMOT-DEPARTM,DEPART MOTEUR MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-05-25,09:52:21,2026-05-25 00:00:00,09:52:21,,,00:00:00,2026-11-29 00:00:00,00:00:00,,00:00:00,S-PC-924IP01B-D,SF01PEAUMR,1
13497603,4002591494.0,OMS_MESURE VIBRATOIRE PALIERS,SF01-UT-FDEM-BASSIN-0IP02A,MOTOPOMPE EAU MER VERS SEM2 IPO2A MC,SF1-MCU,SF01,GM4,AENC OAFF,,290.0,ZP,,,P1,,FATHELLAH,2026-08-29,15:27:06,2026-08-29 00:00:00,15:27:06,,,00:00:00,2026-09-12 00:00:00,00:00:00,,00:00:00,S-PC-P924 IP 02A,SF01PEAUMR,2
13497600,4002591491.0,LUBRIFICATION DES PALIERS,SF01-UT-FDEM-BASSIN-0IP02A,MOTOPOMPE EAU MER VERS SEM2 IPO2A MC,SF1-MCU,SF01,GM4,AENC OAFF,,350.0,ZP,,,P1,,FATHELLAH,2026-08-29,15:27:06,2026-08-29 00:00:00,15:27:06,,,00:00:00,2026-09-13 00:00:00,00:00:00,,00:00:00,S-PC-P924 IP 02A,SF01PEAUMR,2
11922073,4001060185.0,préventif (6 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,3.0,Dans un mois,P1,,BENMOUSSA1,2026-01-12,16:14:03,2026-01-12 00:00:00,16:14:03,BENMOUSSA1,2026-08-27 00:00:00,17:03:41,2026-08-27 00:00:00,17:03:41,,00:00:00,S-PC-924IP02A-M,SF01PEAUMR,2
12515301,4001660316.0,préventif (3 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,2.0,Dans une semaine,P1,,BENMOUSSA1,2026-04-13,14:45:14,2026-04-13 00:00:00,14:45:14,BENMOUSSA1,2026-08-27 00:00:00,17:24:47,2026-08-27 00:00:00,17:24:47,,00:00:00,S-PC-924IP02A-M,SF01PEAUMR,2
13152449,4002285382.0,préventif (6 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:33,2026-07-10 00:00:00,14:40:33,,,00:00:00,2027-01-18 00:00:00,00:00:00,,00:00:00,S-PC-924IP02A-M,SF01PEAUMR,2
